pair,mode,ltf,pivot_type,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_width,pivot_first_touch_time,zone_first_time,zone_second_time,zone_low,zone_high,zone_width,zone_pct_of_pivot,entry_time,entry_price,sl_level,tp_level,sl_distance,tp_distance,rr
EURCHF,3D,H1,short,2018-12-03,2018-12-06,1.13174,1.13488,0.0031400000000001427,2018-12-19,2018-12-04 12:00:00,2018-12-04 13:00:00,1.13485,1.13488,3.0000000000196536e-05,0.0095541401274506,2018-12-20 09:00:00,1.13358,1.13858,1.1285999999999998,0.005,0.0049800000000002065,0.9960000000000413
EURCHF,3D,H1,long,2018-12-14,2018-12-19,1.12423,1.12838,0.004149999999999876,2018-12-24,2018-12-14 13:00:00,2018-12-14 14:00:00,1.12428,1.12446,0.00018,0.0433734939759215,2018-12-25 22:00:00,1.12528,1.1202800000000002,1.1325299999999998,0.005,0.007249999999999757,1.4499999999999513
USDCHF,3D,H1,long,2018-12-06,2018-12-11,0.98631,0.99042,0.004109999999999947,2018-12-14,2018-12-11 09:00:00,2018-12-11 10:00:00,0.98631,0.9867,0.00039,0.0948905109489066,2018-12-20 10:00:00,0.98678,0.9815786577181208,0.9945299999999999,0.005201342281879144,0.007749999999999924,1.49
GBPAUD,3D,H1,long,2018-10-30,2018-11-02,1.78624,1.80408,0.017839999999999856,2018-11-07,2018-10-30 16:00:00,2018-10-30 17:00:00,1.78624,1.78636,0.0001199999999998,0.0067264573990974,2018-11-12 07:00:00,1.78674,1.7631292617449665,1.8219199999999998,0.0236107382550334,0.03517999999999977,1.49
GBPAUD,3D,H1,short,2018-11-12,2018-11-15,1.79582,1.8066,0.010780000000000012,2018-12-19,2018-11-13 16:00:00,2018-11-13 17:00:00,1.80641,1.8066,0.0001899999999999,0.017625231910938,2018-12-26 02:00:00,1.80586,1.8198331543624162,1.78504,0.013973154362416149,0.02082000000000006,1.49
GBPAUD,3D,H1,long,2018-11-15,2018-11-20,1.74778,1.76199,0.014210000000000056,2018-11-23,2018-11-19 01:00:00,2018-11-19 02:00:00,1.7524,1.75252,0.0001200000000001,0.0084447572132385,2018-11-28 17:00:00,1.75442,1.7398025503355705,1.7762,0.014617449664429471,0.02177999999999991,1.49
AUDNZD,3D,H1,long,2018-11-12,2018-11-15,1.06132,1.06422,0.0028999999999999027,2018-11-20,2018-11-14 17:00:00,2018-11-14 18:00:00,1.06156,1.06206,0.0004999999999999,0.172413793103435,2018-11-20 07:00:00,1.06212,1.05712,1.0671199999999998,0.005,0.004999999999999893,0.9999999999999787
CHFJPY,3D,H1,long,2018-10-25,2018-10-30,111.56,112.166,0.6059999999999945,2018-12-19,2018-10-26 14:00:00,2018-10-26 15:00:00,111.56,111.593,0.0330000000000012,0.054455445544557,2018-12-23 22:00:00,111.655,110.9053355704698,112.77199999999999,0.7496644295301947,1.1169999999999902,1.49
CHFJPY,3D,H1,short,2018-11-07,2018-11-12,113.178,113.746,0.5679999999999978,2018-11-15,2018-11-07 13:00:00,2018-11-07 14:00:00,113.662,113.746,0.0839999999999889,0.1478873239436431,2018-11-21 13:00:00,113.612,114.2844832214765,112.61,0.672483221476507,1.0019999999999953,1.49
CHFJPY,3D,H1,short,2018-11-23,2018-11-28,113.942,114.412,0.4700000000000131,2018-12-03,2018-11-28 21:00:00,2018-11-28 22:00:00,114.408,114.412,0.0040000000000048,0.0085106382978825,2018-12-10 15:00:00,114.22,114.7220134228188,113.47199999999998,0.5020134228188046,0.7480000000000189,1.4900000000000002
CHFJPY,3D,H1,long,2018-12-03,2018-12-06,112.872,113.456,0.5840000000000032,2018-12-14,2018-12-06 09:00:00,2018-12-06 10:00:00,112.9,112.914,0.0139999999999957,0.0239726027397186,2018-12-19 20:00:00,113.134,112.52594630872483,114.04,0.6080536912751717,0.9060000000000059,1.49
AUDJPY,3D,H1,short,2018-11-07,2018-11-12,82.23,83.052,0.8220000000000027,2018-11-15,2018-11-08 18:00:00,2018-11-08 19:00:00,83.003,83.052,0.0490000000000065,0.0596107055961148,2018-11-28 17:00:00,82.988,84.04840268456375,81.408,1.0604026845637573,1.5799999999999983,1.49
AUDJPY,3D,H1,long,2018-11-20,2018-11-23,81.201,81.932,0.7310000000000088,2018-12-06,2018-11-20 22:00:00,2018-11-20 23:00:00,81.201,81.207,0.0060000000000002,0.0082079343365255,2018-12-06 10:00:00,81.226,80.26157046979866,82.66300000000001,0.9644295302013502,1.4370000000000118,1.49
AUDJPY,3D,H1,long,2018-12-06,2018-12-11,80.725,81.49,0.7650000000000006,2018-12-14,2018-12-09 23:00:00,2018-12-10 00:00:00,80.725,80.792,0.0670000000000072,0.0875816993464146,2018-12-18 09:00:00,80.87,79.94046979865773,82.255,0.9295302013422758,1.384999999999991,1.49
EURUSD,3D,H1,short,2018-11-02,2018-11-07,1.14269,1.15001,0.007319999999999993,2018-11-15,2018-11-07 17:00:00,2018-11-07 18:00:00,1.1468,1.1468,0.0,0.0,2018-11-20 08:00:00,1.14316,1.150742,1.13537,0.007581999999999978,0.007789999999999964,1.0274333948826149
EURUSD,3D,H1,long,2018-11-12,2018-11-15,1.12154,1.13094,0.009400000000000075,2018-11-23,2018-11-15 09:00:00,2018-11-15 10:00:00,1.12708,1.12851,0.0014299999999998,0.1521276595744477,2018-11-27 17:00:00,1.12855,1.1206,1.1403400000000001,0.007949999999999902,0.01179000000000019,1.4830188679245704
EURUSD,3D,H1,short,2018-12-19,2018-12-24,1.13714,1.14856,0.011419999999999986,2018-12-27,2018-12-24 14:00:00,2018-12-24 15:00:00,1.14341,1.14384,0.0004299999999999,0.0376532399299414,2018-12-27 15:00:00,1.14006,1.149702,1.12572,0.009641999999999928,0.01434000000000002,1.4872433105165035
GBPCAD,3D,H1,short,2018-10-17,2018-10-22,1.71247,1.71904,0.006569999999999965,2018-11-02,2018-10-19 18:00:00,2018-10-19 19:00:00,1.7142,1.71442,0.0002200000000001,0.0334855403348721,2018-11-06 09:00:00,1.71372,1.7196969999999998,1.7059,0.005976999999999899,0.007819999999999938,1.3083486699013
GBPCAD,3D,H1,short,2018-11-12,2018-11-15,1.7202,1.72862,0.008420000000000094,2018-12-19,2018-11-15 06:00:00,2018-11-15 07:00:00,1.72239,1.72284,0.0004499999999998,0.0534441805225456,2018-12-24 07:00:00,1.72206,1.729462,1.7117799999999999,0.007402000000000131,0.010280000000000067,1.3888138340988767
GBPCAD,3D,H1,long,2018-11-15,2018-11-20,1.67854,1.69262,0.014080000000000092,2018-11-23,2018-11-16 08:00:00,2018-11-16 09:00:00,1.68185,1.68254,0.0006899999999998,0.0490056818181713,2018-12-03 09:00:00,1.68444,1.6695004026845637,1.7067,0.014939597315436355,0.02226000000000017,1.49
GBPCAD,3D,H1,short,2018-11-20,2018-11-23,1.69848,1.70948,0.01100000000000012,2018-11-28,2018-11-23 13:00:00,2018-11-23 14:00:00,1.70002,1.70038,0.0003599999999999,0.0327272727272647,2018-11-28 08:00:00,1.69966,1.7105800000000002,1.6874799999999999,0.010920000000000263,0.01218000000000008,1.1153846153845959
GBPNZD,3D,H1,long,2018-11-15,2018-11-20,1.86288,1.87948,0.016599999999999948,2018-11-23,2018-11-16 20:00:00,2018-11-16 21:00:00,1.8632,1.86362,0.00042,0.0253012048192824,2018-11-28 17:00:00,1.86651,1.8466643624161072,1.89608,0.019845637583892684,0.029570000000000096,1.49
GBPNZD,3D,H1,short,2018-12-11,2018-12-14,1.8461,1.8601,0.014000000000000012,2018-12-19,2018-12-14 07:00:00,2018-12-14 08:00:00,1.85934,1.85938,4.000000000004e-05,0.0028571428571457,2018-12-19 20:00:00,1.85694,1.8736111409395972,1.8321,0.016671140939597297,0.024839999999999973,1.49
USDJPY,3D,H1,short,2018-10-17,2018-10-22,112.54,112.888,0.347999999999999,2018-10-25,2018-10-22 22:00:00,2018-10-22 23:00:00,112.832,112.842,0.0100000000000051,0.0287356321839228,2018-10-30 07:00:00,112.808,113.308,112.19200000000001,0.5,0.6159999999999997,1.2319999999999993
EURNZD,3D,H1,long,2018-11-12,2018-11-15,1.65588,1.6643,0.008419999999999872,2018-11-20,2018-11-16 19:00:00,2018-11-16 20:00:00,1.65782,1.65822,0.0003999999999999,0.0475059382422757,2018-11-28 08:00:00,1.6594,1.650460402684564,1.6727199999999998,0.008939597315436091,0.013319999999999776,1.4900000000000002
EURNZD,3D,H1,short,2018-12-19,2018-12-24,1.69565,1.70076,0.005109999999999948,2018-12-27,2018-12-24 15:00:00,2018-12-24 16:00:00,1.69988,1.70076,0.0008799999999999,0.1722113502935422,2018-12-27 09:00:00,1.69955,1.7055969798657715,1.6905400000000002,0.006046979865771638,0.00900999999999974,1.49
EURCAD,3D,H1,short,2018-10-17,2018-10-22,1.50864,1.51328,0.0046399999999999775,2018-11-15,2018-10-22 06:00:00,2018-10-22 07:00:00,1.51142,1.51153,0.00011,0.023706896551736,2018-11-20 15:00:00,1.51006,1.5150599999999999,1.504,0.005,0.006059999999999954,1.2119999999999909
EURCAD,3D,H1,long,2018-10-22,2018-10-25,1.47769,1.48745,0.009759999999999991,2018-10-30,2018-10-25 07:00:00,2018-10-25 08:00:00,1.4848,1.48482,2.0000000000131024e-05,0.0020491803278822,2018-10-31 14:00:00,1.48694,1.4767139999999999,1.49721,0.010226000000000068,0.010270000000000001,1.0043027576765042
EURCAD,3D,H1,long,2018-10-30,2018-11-02,1.48481,1.4929,0.00808999999999993,2018-11-07,2018-10-31 17:00:00,2018-10-31 18:00:00,1.48639,1.48757,0.0011799999999999,0.1458590852904782,2018-11-12 06:00:00,1.48838,1.479916912751678,1.5009899999999998,0.008463087248322005,0.012609999999999788,1.4900000000000002
EURCAD,3D,H1,short,2018-11-02,2018-11-07,1.4997,1.50496,0.005260000000000042,2018-11-12,2018-11-07 15:00:00,2018-11-07 16:00:00,1.50444,1.50496,0.00052,0.0988593155893672,2018-11-19 09:00:00,1.5043,1.5109174496644295,1.49444,0.006617449664429517,0.00985999999999998,1.49
EURCAD,3D,H1,long,2018-11-23,2018-11-28,1.49518,1.50168,0.00649999999999995,2018-12-03,2018-11-23 17:00:00,2018-11-23 18:00:00,1.49518,1.4963,0.00112,0.1723076923076951,2018-12-03 08:00:00,1.49704,1.4895634899328858,1.5081799999999999,0.007476510067114046,0.011139999999999928,1.49
EURCAD,3D,H1,short,2018-12-19,2018-12-24,1.54632,1.55511,0.008790000000000076,2018-12-27,2018-12-24 14:00:00,2018-12-24 15:00:00,1.55428,1.55511,0.0008299999999998,0.094425483503968,2018-12-27 13:00:00,1.55395,1.5649701342281879,1.5375299999999998,0.011020134228187987,0.0164200000000001,1.49
GBPCHF,3D,H1,long,2018-11-07,2018-11-12,1.29537,1.30472,0.009350000000000191,2018-11-15,2018-11-12 17:00:00,2018-11-12 18:00:00,1.29556,1.29569,0.0001299999999999,0.0139037433155038,2018-11-15 08:00:00,1.29634,1.2844406711409395,1.3140700000000003,0.011899328859060568,0.017730000000000246,1.49
CADJPY,3D,H1,short,2018-10-22,2018-10-25,85.965,86.818,0.8529999999999944,2018-10-30,2018-10-25 09:00:00,2018-10-25 10:00:00,86.304,86.312,0.0079999999999955,0.0093786635404403,2018-10-30 21:00:00,86.251,87.01542953020135,85.11200000000001,0.7644295302013394,1.1389999999999958,1.49
CADJPY,3D,H1,long,2018-10-25,2018-10-30,84.85,85.569,0.7190000000000083,2018-11-12,2018-10-26 14:00:00,2018-10-26 15:00:00,84.85,84.914,0.0640000000000071,0.0890125173852662,2018-11-20 15:00:00,85.102,84.30602684563759,86.28800000000001,0.7959731543624209,1.186000000000007,1.49
CADJPY,3D,H1,long,2018-12-06,2018-12-11,83.568,84.606,1.0379999999999967,2018-12-14,2018-12-06 15:00:00,2018-12-06 16:00:00,83.568,83.618,0.0499999999999971,0.0481695568400744,2018-12-18 23:00:00,83.628,82.27497986577181,85.64399999999999,1.353020134228182,2.015999999999991,1.49
GBPUSD,3D,H1,long,2018-11-15,2018-11-20,1.27243,1.28516,0.01273000000000013,2018-11-23,2018-11-15 18:00:00,2018-11-15 19:00:00,1.27243,1.27352,0.00109,0.0856245090337803,2018-11-27 08:00:00,1.27498,1.2596041610738253,1.2978900000000002,0.015375838926174636,0.022910000000000208,1.49
AUDUSD,3D,H1,long,2018-10-25,2018-10-30,0.70213,0.7057,0.003569999999999962,2018-12-19,2018-10-26 09:00:00,2018-10-26 10:00:00,0.70213,0.70245,0.0003199999999999,0.0896358543417339,2018-12-27 15:00:00,0.70258,0.69758,0.70927,0.005,0.006689999999999974,1.3379999999999947
AUDUSD,3D,H1,short,2018-11-15,2018-11-20,0.7295,0.7338,0.0042999999999999705,2018-11-28,2018-11-16 20:00:00,2018-11-16 21:00:00,0.73352,0.7338,0.00028,0.0651162790697813,2018-11-29 13:00:00,0.73275,0.7378171140939597,0.7252000000000001,0.005067114093959695,0.007549999999999946,1.49
NZDUSD,3D,H1,long,2018-11-07,2018-11-12,0.67058,0.67383,0.003250000000000086,2018-12-19,2018-11-12 22:00:00,2018-11-12 23:00:00,0.67076,0.67087,0.0001099999999999,0.0338461538461355,2018-12-21 17:00:00,0.67096,0.66596,0.6770800000000001,0.005,0.006120000000000125,1.224000000000025
NZDUSD,3D,H1,short,2018-11-15,2018-11-20,0.68386,0.68836,0.0044999999999999485,2018-11-28,2018-11-16 20:00:00,2018-11-16 21:00:00,0.68825,0.68836,0.0001099999999999,0.0244444444444321,2018-11-28 18:00:00,0.68792,0.693664966442953,0.6793600000000001,0.005744966442952954,0.008559999999999901,1.49
NZDUSD,3D,H1,long,2018-11-23,2018-11-28,0.67537,0.67908,0.003709999999999991,2018-12-14,2018-11-27 01:00:00,2018-11-27 02:00:00,0.67537,0.6759,0.0005299999999999,0.1428571428571214,2018-12-20 09:00:00,0.67768,0.67268,0.68279,0.005,0.005110000000000059,1.0220000000000118
NZDUSD,3D,H1,short,2018-12-03,2018-12-06,0.68988,0.69694,0.007059999999999955,2018-12-11,2018-12-05 16:00:00,2018-12-05 17:00:00,0.69074,0.69083,9.00000000000345e-05,0.0127478753541126,2018-12-11 13:00:00,0.69057,0.697646,0.6828200000000001,0.007075999999999971,0.007749999999999924,1.0952515545505872
NZDCAD,3D,H1,long,2018-12-19,2018-12-24,0.90767,0.91301,0.005340000000000011,2018-12-27,2018-12-21 17:00:00,2018-12-21 18:00:00,0.91039,0.91091,0.0005199999999999,0.0973782771535512,2018-12-27 06:00:00,0.91118,0.90618,0.91835,0.005,0.00717000000000001,1.434000000000002
CADCHF,3D,H1,short,2018-10-22,2018-10-25,0.76412,0.76934,0.005220000000000002,2018-10-30,2018-10-25 15:00:00,2018-10-25 16:00:00,0.76602,0.76654,0.0005199999999999,0.0996168582375411,2018-10-30 19:00:00,0.7658,0.7708,0.7589,0.005,0.006900000000000017,1.3800000000000034
CADCHF,3D,H1,long,2018-10-25,2018-10-30,0.75989,0.76282,0.002930000000000099,2018-11-02,2018-10-26 14:00:00,2018-10-26 15:00:00,0.76012,0.76058,0.00046,0.1569965870307168,2018-11-09 16:00:00,0.76059,0.75559,0.7657500000000002,0.005,0.0051600000000001645,1.032000000000033
CADCHF,3D,H1,long,2018-12-06,2018-12-11,0.73526,0.73922,0.0039599999999999635,2018-12-14,2018-12-11 09:00:00,2018-12-11 10:00:00,0.73526,0.73566,0.0003999999999999,0.1010101010100908,2018-12-18 19:00:00,0.7357,0.7306798657718121,0.74318,0.005020134228187873,0.007479999999999931,1.49
EURGBP,3D,H1,short,2018-12-19,2018-12-24,0.89958,0.90546,0.005879999999999996,2018-12-27,2018-12-20 19:00:00,2018-12-20 20:00:00,0.90533,0.90546,0.00013,0.0221088435374276,2018-12-27 17:00:00,0.90492,0.9124502013422817,0.8937,0.00753020134228181,0.011219999999999897,1.49
GBPJPY,3D,H1,long,2018-11-15,2018-11-20,144.026,144.658,0.6319999999999766,2018-11-23,2018-11-20 20:00:00,2018-11-20 21:00:00,144.034,144.063,0.0289999999999963,0.045886075949363,2018-12-04 05:00:00,144.114,143.3247382550336,145.28999999999996,0.7892617449664157,1.1759999999999593,1.49
GBPJPY,3D,H1,long,2018-12-06,2018-12-11,141.183,142.375,1.1920000000000073,2018-12-14,2018-12-11 21:00:00,2018-12-11 22:00:00,141.52,141.526,0.0060000000000002,0.00503355704698,2018-12-20 06:00:00,141.63,140.32999999999998,143.567,1.300000000000008,1.9370000000000118,1.49
EURJPY,3D,H1,long,2018-11-12,2018-11-15,127.503,128.516,1.012999999999991,2018-11-20,2018-11-15 13:00:00,2018-11-15 14:00:00,127.769,127.903,0.1340000000000003,0.1322803553800607,2018-11-23 14:00:00,127.998,126.97048322147651,129.529,1.0275167785234844,1.5309999999999917,1.49
EURJPY,3D,H1,long,2018-12-03,2018-12-06,127.622,128.414,0.7919999999999874,2018-12-11,2018-12-06 19:00:00,2018-12-06 20:00:00,127.997,128.086,0.0890000000000128,0.1123737373737553,2018-12-14 13:00:00,128.11,127.3744295302014,129.20599999999996,0.7355704697986221,1.0959999999999468,1.49
EURAUD,3D,H1,long,2018-11-12,2018-11-15,1.55198,1.56356,0.011580000000000146,2018-11-23,2018-11-15 09:00:00,2018-11-15 10:00:00,1.55198,1.55246,0.00048,0.0414507772020751,2018-11-28 17:00:00,1.55428,1.54028,1.5751400000000002,0.014000000000000068,0.0208600000000001,1.49
EURAUD,3D,H1,short,2018-11-20,2018-11-23,1.57205,1.57828,0.006229999999999958,2018-12-06,2018-11-20 22:00:00,2018-11-20 23:00:00,1.5782,1.57828,7.999999999985796e-05,0.0128410914927541,2018-12-06 14:00:00,1.57777,1.5857901342281877,1.56582,0.008020134228187856,0.011949999999999905,1.49
EURAUD,3D,H1,short,2018-12-06,2018-12-11,1.5795,1.58857,0.009070000000000134,2018-12-14,2018-12-10 06:00:00,2018-12-10 07:00:00,1.58496,1.5854,0.0004399999999999,0.0485115766262391,2018-12-18 17:00:00,1.58389,1.59292355704698,1.5704299999999998,0.009033557046980034,0.01346000000000025,1.49
NZDJPY,3D,H1,long,2018-11-15,2018-11-20,76.442,76.954,0.5120000000000005,2018-11-23,2018-11-20 22:00:00,2018-11-20 23:00:00,76.442,76.454,0.0120000000000004,0.0234375000000008,2018-11-23 12:00:00,76.494,75.84165100671142,77.466,0.6523489932885868,0.9719999999999942,1.49
NZDJPY,3D,H1,long,2018-12-06,2018-12-11,76.953,77.868,0.914999999999992,2018-12-14,2018-12-09 23:00:00,2018-12-10 00:00:00,76.953,76.996,0.0429999999999921,0.0469945355191175,2018-12-14 09:00:00,77.032,75.8568322147651,78.78299999999999,1.175167785234893,1.7509999999999906,1.49
