pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,71,33,38,0.1159770976531451,46.478873239436616,1.4010416343446455,-1.0
AUDCHF,62,29,33,0.10840107493929345,46.774193548387096,1.3696850567667656,-1.0
AUDJPY,56,22,34,-0.05710834012924039,39.285714285714285,1.400087861489206,-1.0
AUDNZD,50,15,35,-0.2975687086089193,30.0,1.3414376379702693,-1.0
AUDUSD,54,23,31,0.022569000542941562,42.592592592592595,1.4008141751877756,-1.0
CADCHF,63,22,41,-0.1755468252456375,34.92063492063492,1.360934091342038,-1.0
CADJPY,59,26,33,0.04171623166080005,44.06779661016949,1.3638945256918156,-1.0
CHFJPY,74,35,39,0.12924083425319574,47.2972972972973,1.387537763849614,-1.0
EURAUD,63,26,37,-0.0060254467100185555,41.269841269841265,1.4084768022026475,-1.0
EURCAD,61,31,30,0.24149639936990655,50.81967213114754,1.4429445277923971,-1.0
EURCHF,48,23,25,0.1415892758999731,47.91666666666667,1.3824471844869,-1.0
EURGBP,48,21,27,0.05858624733225426,43.75,1.4196257081880095,-1.0
EURJPY,60,27,33,0.10196416861005021,45.0,1.4488092635778895,-1.0
EURNZD,62,20,42,-0.22303484076769883,32.25806451612903,1.4085919936201334,-1.0
EURUSD,67,35,32,0.23690076819778647,52.23880597014925,1.3677814705500484,-1.0
GBPAUD,62,19,43,-0.2674933005832295,30.64516129032258,1.3902850191494613,-1.0
GBPCAD,61,23,38,-0.0835905782416468,37.704918032786885,1.4304771620547625,-1.0
GBPCHF,63,24,39,-0.07899439543397016,38.095238095238095,1.4176397119858286,-1.0
GBPJPY,55,20,35,-0.12516209007285556,36.36363636363637,1.4058042522996468,-1.0
GBPNZD,66,28,38,0.008539792669996571,42.42424242424242,1.3772723684364208,-1.0
GBPUSD,56,20,36,-0.14838850874217074,35.714285714285715,1.3845121755219219,-1.0
NZDCAD,57,20,37,-0.1692986845598819,35.08771929824561,1.3674987490043364,-1.0
NZDCHF,65,23,42,-0.15903238170417705,35.38461538461539,1.3766476169229775,-1.0
NZDJPY,48,22,26,0.10274401113572283,45.83333333333333,1.4059869333870314,-1.0
NZDUSD,53,23,30,0.034706556549405465,43.39622641509434,1.3843238042225428,-1.0
USDCAD,49,26,23,0.25127856805309445,53.06122448979592,1.3581788397923704,-1.0
USDCHF,60,19,41,-0.23044861995753682,31.666666666666664,1.4301622527656732,-1.0
USDJPY,70,24,46,-0.16634217651002842,34.285714285714285,1.4315019851790838,-1.0
ALL,1663,679,984,-0.02193581126305649,40.82982561635598,1.3954650160081548,-1.0
